order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD126872,ID0580179515,2019-12-18,Thompson,"{'iAssist Line': 2, 'Toshika 750': 2, 'Candle Inferno': 2, 'pearTV': 1}",20260.0,93.35,-37.795421399999995,144.9311334,15,17314.35,Summer,False,2.3775,"try something else. i’ve had this phone for exactly three months. the software never updates properly, and now the screen just went black. the phone still receives calls and messages but the screen remains inactive. tried every trick in the book.",False
ORD181831,ID0576859255,2019-11-01,Bakers,"{'Universe Note': 1, 'Toshika 750': 1}",7770.0,94.88,-37.82457479999999,144.9884935,10,7087.88,Spring,True,1.7277,"piece of crap. lasted two months! never again!! seemed great!.......for two months! then started acting up. can't access certain apps, no play store, error codes! now they expect me to return it and sit with no phone for two months while it's returned?",False
ORD333389,ID0767584984,2019-12-06,Nickolson,"{'iAssist Line': 1, 'Lucent 330S': 1, 'pearTV': 2, 'iStream': 1}",16225.0,96.84,-37.8073299,144.9724106,10,14699.34,Summer,True,1.279,"i rate it : b+ the only problem with this phone is i had to switch to a game carrier .... and now my quality of service is not so great ...but i enjoy the phone and it's deep blue color, the best thing about this phone is it's camera",True
ORD370967,ID0309346901,2019-11-28,Bakers,"{'Olivia x460': 2, 'Lucent 330S': 2, 'iAssist Line': 1, 'pearTV': 2}",19755.0,76.57,-37.813628200000004,145.0047619,10,17856.07,Spring,False,0.9305,bang for the buck! the phone is very snappy. it's suprisingly thin. battery life is its greatest strength. takes superb photos especially in portait mode. overall a great budget phone.,True
ORD052100,ID0363385474,2019-09-30,Thompson,"{'Alcon 10': 1, 'Toshika 750': 2, 'pearTV': 1}",23900.0,85.12,-37.79935089999999,144.9594941,0,23985.12,Spring,True,1.8421,"we love them! durable i bought two of these, one for my bf and one for myself. we love them! durable, easy to use, over all wonderful!",True
ORD037306,ID4418536057,2019-07-29,Thompson,"{'Candle Inferno': 1, 'Olivia x460': 1}",1655.0,80.33,-37.8026029,144.9632644,10,1569.83,Winter,True,1.8126,100% good phone 100% best product ever!,True
ORD233898,ID2936341079,2019-08-17,Nickolson,"{'Universe Note': 2, 'Alcon 10': 1}",15850.0,57.9,-37.818488099999996,144.96773969999995,25,11945.4,Winter,True,0.1597,"this is a good tablet for the price, however, it runs slow and the touch screen response is not the best. this isn't the right tablet if you're looking for a high speed, high performance tablet.",False
ORD224455,ID0529205069,2019-04-24,Thompson,"{'Olivia x460': 2, 'Candle Inferno': 2, 'Alcon 10': 2, 'Lucent 330S': 1}",22440.0,81.05,-37.8233965,144.93557969999995,25,16911.05,Autumn,False,1.5639,it came like brand new absolutely a steal from the money workes perfectly and in about 4 months in to this phone. if your a heavy user though you are going to need more ram.,True
ORD460331,ID2776394279,2019-01-02,Nickolson,"{'iAssist Line': 2, 'Candle Inferno': 2}",5310.0,73.6,-37.812028999999995,144.9635865,10,4852.6,Summer,False,0.8996,"amazing phone, came two weeks early in australia i'm ... amazing phone, came two weeks early in australia i'm very happy",True
ORD020171,ID6167344520,2019-01-03,Nickolson,"{'iStream': 2, 'Lucent 330S': 1, 'Toshika 750': 2}",10170.0,93.88,-37.8117685,144.96778030000004,10,9246.88,Summer,True,0.7757,five stars excellent experience so far!,True
ORD074223,ID1463656479,2019-02-07,Bakers,"{'Universe Note': 2, 'Alcon 10': 1, 'Candle Inferno': 2, 'iAssist Line': 2}",21160.0,75.08,-37.8185602,144.9991906,0,21235.08,Summer,False,1.0149,everything is nice this cellphone working good i'm so happy,True
ORD369021,ID5058108346,2019-09-29,Nickolson,"{'iStream': 1, 'iAssist Line': 1}",2375.0,98.18,-37.82230420000001,144.96834840000002,10,2235.68,Spring,True,0.4262,None,False
ORD407417,ID0163642824,2019-02-06,Nickolson,"{'Universe Note': 2, 'iStream': 2}",7200.0,96.27,-37.8217802,144.95746719999997,5,6936.27,Summer,True,1.1202,great solid phone but the speakers are to low. this phone is amazing. updated instantly to android 7 nouget. can use apps my note 4 uses but the speakers suck hard. it's not really a problem for my music because i use my headphones but in the morning i can barely hear my alarm.,True
ORD322289,ID1449431615,2019-07-01,Nickolson,"{'iStream': 1, 'iAssist Line': 2}",4600.0,77.58,-37.8126097,144.9776157,5,4447.58,Winter,True,0.9731,awesome. awesome phone.,True
ORD014000,ID4342128129,2019-03-07,Nickolson,"{'Universe Note': 2, 'Toshika 750': 1, 'iAssist Line': 2}",15670.0,67.65,-37.8040745,144.9682994,25,11820.15,Autumn,False,1.6201,great purchase definitely buy its brand new came with charger ... great purchase definitely buy its brand new came with charger headphones and most importantly it works with no flaws great battery life great screen resolution very satisfied and it's unlock i'm using this with cricket,True
ORD170863,ID4927643642,2019-10-22,Thompson,"{'iStream': 1, 'pearTV': 1, 'Candle Inferno': 2, 'iAssist Line': 1}",9545.0,105.31,-37.805668299999994,144.93336509999997,10,8695.81,Spring,True,1.4355,"zero issues whatsoever i don't play games or anything that requires a brand new flagship phones. that being said, i did not expect such responsiveness from this phone especially with the price. highly recommended.",True
