order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD263255,ID0587652977,2019-06-02,Nickolson,"[('iAssist Line', 1), ('Universe Note', 2), ('iStream', 1)]",9275,63.59,-37.8253383,144.95852119999995,15,7947.34,Winter,True,1.2264,"consulta? me interesa saber que sistema operativo trae, ya que no lo informa en el cataldo muchas gracias",False
ORD049852,ID0576879077,2019-05-05,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Thunder line', 2)]",11270,79.87,-37.81966660000001,144.97962619999996,5,10786.37,Autumn,True,0.894,"this is my second candle inferno, and the only reason is because i upgraded. they're a great little tablet. very versatile and fast loading times. definitely recommend.",True
ORD343739,ID0702373342,2019-03-29,Thompson,"[('Universe Note', 2), ('Olivia x460', 2), ('iStream', 2), ('Lucent 330S', 1)]",10880,64.56,-37.8066989,144.94151509999998,5,10400.56,Autumn,False,0.8251,"friend bought it not what we expected only came with the phone/wall charger, nothing else, no stylus, no manual... ended up having to send back, bought another one though from a different site and it came with everything... but vibrates out of the blue",True
ORD398554,ID6167413254,2019-08-21,Nickolson,"[('Toshika 750', 1), ('pearTV', 1), ('Candle Inferno', 2)]",11490,62.46,-37.8128829,144.968234,10,10403.46,Winter,False,0.6463,i love this phone and came just as described i love this phone and came just as described! couldn't be happier!,True
ORD165470,ID0577458199,2019-11-06,Nickolson,"[('Lucent 330S', 1), ('Universe Note', 2)]",8130,102.61,-37.8188941,144.9785274,15,7013.11,Spring,True,0.79,great phone. purchased 2 and both are working great ... great phone. purchased 2 and both are working great and a huge upgrade from an olivia s5 and a toshika z2.,True
ORD272634,ID4520380549,2019-12-29,Nickolson,"[('Candle Inferno', 2), ('pearTV', 1), ('Thunder line', 1)]",9350,74.39,-37.8183397,144.96058119999995,25,7086.89,Summer,False,0.7893,well built excellent quality. excellent value works perfect,True
ORD138927,ID0250480662,2019-02-25,Bakers,"[('pearTV', 1), ('Alcon 10', 1), ('iStream', 1)]",15410,69.72,-37.8092109,145.00089419999995,25,11627.22,Summer,False,0.5056,"first rate phone at bargain a basement price it costs one-fourth as much as the universe s10 and i haven't found anything lacking. there must be s10 features i don't know about (and therefore probably wouldn't use), but i am very happy with the a50. one of the best buys on the mobile phone market.",True
ORD405731,ID2588548683,2019-09-13,Nickolson,"[('Alcon 10', 2), ('pearTV', 1)]",24210,79.16,-37.825316,144.9771199,15,20657.66,Spring,False,1.0013,four stars very good device,True
ORD430192,ID2658548177,2019-12-08,Thompson,"[('iAssist Line', 2), ('Candle Inferno', 1)]",4880,101.21,-37.8036661,144.96302790000001,25,3761.21,Summer,True,1.7249,promoting i would like to promote this product. i’m an instagram reviewer.,True
ORD448599,ID6273358850,2019-08-01,Thompson,"[('Candle Inferno', 2), ('pearTV', 2)]",13480,73.14,-37.799531,144.9621939,5,12879.14,Winter,False,1.9773,four stars very good,True
